EpokaTXT|Epoka:|Age:|Эпоха:|Епоха:;
IlHPNPC|PUNKTY ŻYCIA:|HP POINTS:|Очки жизни:|Пункти життя:;
NaprawBud|Napraw|Repair|Ремонт|Ремонт;
ReklamaS1|Reklama 1|Ad 1|Реклама 1|Реклама 1;
Skrzynka2|Skrzynka 2|Box 2|Сундук 1|Скриня 1;
CoinyTXTButton|Monety|Coins|Монеты|Монети;
IlHPBudynek|PUNKTY ŻYCIA:|HP POINTS:|Очки жизни:|Пункти життя:;
ReklamaS4|Reklama 4|Ad 4|Реклама 4|Реклама 4;
title_sound|Dźwięk|Sound|Звук|Звук;
DObrona|Dodaj Obrona|Enchant Defence|Усилить охрану|Підсилити оборону;
ReklamaS2|Reklama 2|Ad2|Реклама 2|Реклама 2;
PostawBudynekButton|Postaw|Build|Поставь|Поставити;
NastepnyPoziom|Nastepny Poziom|Next level|Следующий уровень|Наступний рівень;
Kup|Kup|Buy|Купить|Купити;
BackButton|COFNIJ|BACK|НАЗАД|НАЗАД;
PlayButtonInside|Graj|Play|Играть|Грати;
PowtórzButton|Powtórz Poziom|Repead level|Уровень сначала|Повторити рівень;
RotacjaBudynku|Obrót|Rotate|Повернуть|Поворот;
title_gameplay|Rozgrywka|Game|Партия|Партія;
WinTXT|WYGRANA|WINNER|Победа|Перемога;
LoseTXT|PRZEGRANA|LOST|Поражение|;
KosztBudynek|KOSZT NAPRAWY:|REPAIR COST:|Цена ремонта:|Ціна ремонту:;
Skrzynka4|Skrzynka 4|Box4|Сундук 4|Скриня 4;
EnemyOrigin=nazwa|Włócznik|Spearman|Копейщик|Метальник;
Enemy_Zwarcie_Variant_1=nazwa|Wieśniak|Peasant|Крестьянин|Селянин;
Coiny|Monety|Coins|Монеты|Монети;
CudOcalenia|Cud Ocalenia|Salavation|Исцедение|Зцілення;
DodatkowaNagroda|Dodatkowa nagroda|Double Reward;
SkrótCzasuSkrzynki|SkrócenieCzasuSkrzynki|Fastest Box|Ускорение времени сундука|Прискорення часу скрині;
KliknijTuText|Kliknij tu|Click here|Нажать|Натиснути;
OpuszczamSamuczekTXT|Wył Samouczek|Disable Tutorial|Выйти с гайда|Вихід з гайда;
SamouczekTextButton|Samouczek|Tutorial|Гайд|Гайд;
PrzesunKamereToogleOpcje|Odwrócenie przesunięcia kamery|Inverse camera movement|Обратное движение камеры|Зворотній рух камери;
PostProcessingToogleOpcje|Post-Processing|Post-Processing|Цветовой фильтр|Кольовий фільтр;
Akademia=nazwa|Akademia|Academy|Академия|Академія;
Akademia=opis|Budynek pozwalający na prowadzenie badań zwiększających parametry innych budynków.|A building that allows research to increase the capabilities of other buildings.;
Mur_1v1=nazwa|Kamienny Mur II|Stone Wall III|Здание, позволяющее на ведение исследований, увеличивающих параметры других зданий|Будівля, в якій проводяться досліди, завдяки яким підвищуються параметри інших будинків;
Mur_1v1=opis|Mur zbudowany z ułożonych ociosanych skał zapewniający dobrą ochronę, przy znacznym koszcie budowy.|A wall made of stacked hewn rocks providing good protection at a significant construction cost.|Ограждение, построенное с уложеного тесанного камня, предоставляющее солидную защиту при высокой цене постройки.|Огорожа, споруджена з викладеного тесаного каменя, що надає значний захист разом з високою ціною будови.;
Mur_1v2=nazwa|Kamienny Mur II|Stone Wall II|Каменное ограждение II|Кам'яна огорожа II;
Mur_1v2=opis|Mur zbudowany z wypalanych cegieł zapewniający fantastyczną wytrzymałość przy dużym koszcie budowy.|A wall built of burnt bricks providing fantastic strength at high construction cost.|Ограждение, уложенное с обожженного кирпича, обеспечивающий отличную устойчивость при высокой цене постройки.|Огорожа, споруджена з випаленої цегли, запевняє чудову стійкість при високій ціні будови.;
Mur_1v3=nazwa|Kamienny Mur I|Stone Wall I|Каменное ограждение I|Кам'на огорожа I;
Mur_1v3=opis|Stos kamieni o większej wytrzymałości niż drewniana palisada. Średnia wytrzymałość przy zachowaniu niskiej ceny budynku.|A pile of stones with greater strength than a wooden palisade. Medium strength while maintaining a low building price.|Груда камней, устойчивие чем деревяный частокол. Средняя устойчивость при низкей цене постройки.|Нагромадження каміння, міцніше ніж частокол.;
Mur_2v1=nazwa|Palisada|Wooden Wall II|Частокол|;
Mur_2v1=opis|Palisada jest podstawową strukturą obronną mającą małą wytrzymałość i niskie koszty budowy.|A palisade is a basic defensive structure with low strength and low construction costs.|Частол является базовой охранной стриктурой со слабой устойчивостью и низкой ценой постройки.|Чостокол це основна оборонна структура зі слабкою витрималістю та низькою ціною будови.;
Mur_Orginal=nazwa|Wzmocniony Kamienny Mur III|Enchanted Stone Wall|Укрепленное каменное ограждение|Укріплена кам'яна огорожа;
Mur_Orginal=opis|Mur zbudowany ze wzmocnionych cegieł zapewniający najlepszą możliwą ochronę przy dużej cenie budowy.|A wall made of reinforced bricks to provide the best possible protection at a high construction cost.|Ограждение, построенное с укрепленных кирпичей, предоставляющая лучшую возможную защиту с высокой ценой постройки.|Огорожа, збудована зі зміцнених цеглин, запевняє найкращу можливу охорону при високій ціні будови.;
Wieża 3_1 Variant=nazwa|Dębowa Diva I|Oak Diva I|Дубовая Дива|Дубова Діва;
Wieża 3_1 Variant=opis|Dębowa wieża atakująca jeden cel dostepna na samym początu gry.|A oak tower that attacks one target is available at the very beginning of the game.|;
Wieża 3_1_1 Variant=nazwa|Ulepszona Dębowa Diva I|Better Oak Diva I;
Wieża 3_1_1 Variant=opis|Dębowa wieża o wzmocnionej strukturze atakująca jeden cel.|Structured oak tower attacking one target.|Дубовая башня с укрепленной структурой атакующая единстрвенную цель|Укріплена дубова вежа, що атакує єдину ціль.;
Wieża 3_1_2 Variant=nazwa|Diva II|Diva II|Дива II|Діва II|;
Wieża 3_1_2 Variant=opis|Wieża mająca większy zasięg niż dębowa, zadająca większe obrażenia i niską cenę budowy.|A tower with a greater range than the Oak Tower, dealing more damage and a low construction cost.|Башня с большим диапазоном атаки чем дубовая, наносящая больший урон, с низкой ценой постройки.|Вежа з більшим діапазоном атаки ніж дубова, задає більші шкоди і має низьку ціну будови.;
Wieża 3_1_3 Variant=nazwa|Ulepszona Diva II|Better Diva II|Улучшенная дива II;
Wieża 3_1_3 Variant=opis|Wieża mająca większy zasięg niż dębowa o umocnionej strukturze, zadająca większe obrażenia i niską cenę budowy.|A tower with a greater range than an oak tower with a reinforced structure, dealing more damage and a low construction cost.|Башня, имеющая больший диапазон атаки чем дубовая, с укрепленной структурой, наносит больший урон, имеет низкую цену постройки.|Вежа з ширшим діапазоном атаки ніж дубова, має зміцнену структуру, завдає більші шкоди і має низьку ціну будови.;
Wieża 3_1_4 Variant=nazwa|Diva III|Diva III|Дива III|Діва III;
Wieża 3_1_4 Variant=opis|Diva III-generacji atakuje szybciej niż poprzednie generacje i zadaje delikatnie większe obrażenia oraz wytrzymałość.|The 3rd generation diva attacks faster than previous generations and deals slightly more damage and endurance.|Дива III-ей генерации атакует быстрее чем предыдущие генерации, имеет немного большие урон и стойкость.|Діва III-ї генерації атакує швидше ніж попередні генерації, дещо стійкіша і завдає дещо більші шкоди.;
Wieża 3_1_5 Variant=nazwa|Ulepszona Diva III|Improved Diva III|Улучшенная Дива|Вдосконалена Діва;
Wieża 3_1_5 Variant=opis|Ulepszona wieża Diva III zwiększa obrażenia wytrymałość oraz szybkość ataku.|Improved Diva III turret increases damage, stamina and attack speed.|Башня Улучшенная Дива III увеличивает урон, стойкость и скорость атаки.|Вежа Вдосконалена Діва III збільшує завдані шкоди, стійкість та швидкість атаки.;
Wieża 3_1_6 Variant=nazwa|Olchowa Diva|Alder Diva|Ольховая Дива|Вільхова Діва;
Wieża 3_1_6 Variant=opis|Olchowa wieża znacząco zwiększa obrażenia, ale atakuje wolniej niż poprzednie generacje wież.|Alder Tower significantly increases damage, but attacks slower than previous generations of towers.|Ольховая башня наносит гораздо больше урона, но атакует медленее чем предыдущие генерации башен.|Вільхова вежа завдає значно більше шкоди, але атакує повільніше ніж попередні генерації веж;
Wieża 3_1_7 Variant=nazwa|Ulepszona Olchowa Diva|Improved Alder Diva|Улучшеная Ольховая Дива|Удосконалена Вільхова Діва;
Wieża 3_1_7 Variant=opis|Ulepszona Olchowa wieża o wzmocnionej strukturze pozwala lekko zredukować czas między kolejnymi atakami.|The improved Alder tower with a reinforced structure allows you to slightly reduce the time between successive attacks.|Башня Улучшенная Ольховая Дива с укрепленной структурой позволяет немного сократить время между последующими атаками.|Вежа Вдосконалена Вільхова Діва із зміцненою структурою дозволяє дещо скоротити час між наступними атаками;
Wieża 3_1_8 Variant=nazwa|Diva IV|Diva IV;|Дива IV|Діва IV
Wieża 3_1_8 Variant=opis|Diva IV to innowacyjna struktura dająca dużą wytrzymałość, przy relatywnie niskiej cenie zakupu.|Diva IV is an innovative structure that gives high durability at a relatively low purchase price.|Дива IV это передовая структура предоставляющая высокую стойкость при относительно низкой цене постройки.|Діва IV це передова структура, що надає значну стійкість при відносно низькій ціні будови.; 
Wieża 3_1_9 Variant=nazwa|Ulepszona Diva IV|Improved Diva IV|Улучшенная Дива IV|Вдосконалена Дива IV;
Wieża 3_1_9 Variant=opis|Ulepszona Diva IV to ulepszona struktura Diva IV osiągająca szczyt możliwości tego typu wieży. Najpotężniejsza wieża atakująca jeden cel.|Upgraded Diva IV is an upgraded DIva IV structure that reaches the peak of this tower type. The most powerful tower that attacks a single target.|Улучшенная Дива IV это улучшенная структура Дива VI достигающая пик возможностей этого типа башен. Самая сильная башня атакующая одну цель.| Вдосконалена Діва IV це вдосконалена структура Діва IV досягаюча вершину можливостей веж цього типу. Найсильнвша вежа, що атакує одну ціль.;
Wieża 3_2 Variant=nazwa|Podstawowa Meta|Basic Meta|Основная Мета|Базова Мета;
Wieża 3_2 Variant=opis|Podstawowa wieża mogąca atakować wszystkich będących w zasiegu wybuchu.|A basic tower that can attack anyone within the blast radius.|Основная башня, которая можеш атаковать все что находится в диапазоне взрыва.|Базова вежа, котра може атакувати все, що знаходиться в діапазоні вибуху;
Wieża 3_2_1 Variant=nazwa|Podstawowa Meta II|Basic Meta II|Основная Мета II|Базова Мета II;
Wieża 3_2_1 Variant=opis|Prototyp wieży nowego typu, która pozwala na atakowanie wszystkich, którzy są w zasiegu wybuchu.|A prototype of a new type of turret that allows you to attack anyone within the blast radius.|Прототип башни нового типа, которая позволяет атаковать все, что находится в диапазоне взрыва.|Прототип вежи нового типу, яка дозволяє атакувати все, що знаходиться в диапазоні вибуху.;
Wieża 3_2_2 Variant=nazwa|Ulepszona Meta II|Enchanted Meta II|Улучшенная Мета II|Вдосконалена Мета II;
Wieża 3_2_2 Variant=opis|Wzmocniona struktura wieży o większej wytrzymałości, szybszym ataku i obrażeniach.|Reinforced tower structure with more durability, faster attack and damage.|Более устойчивая, укрепленная структура башни с более высокой скоростью атаки и большим уроном.|Більш витривала вежа із зміцненою структурою, вищою швидкістю атаки і більшими завданими шкодами.;
Wieża 3_2_3 Variant=nazwa|Meta III|Meta III|Мета III|Мета III;
Wieża 3_2_3 Variant=opis|Prototyp wieży o nowej strukturze o większej wytrzymałości i niższym koszcie ale i niższych obrażeniach.|A prototype of a turret with a new structure with greater strength and lower cost, but also with lower damage.|Прототип башни с более устойчивой структурой, более низкой ценой, но и более низким уроном.|Прототип вежи з новою структурою, більш витривала, має нищу ціну будови але завдає і менші шкоди.;
Wieża 3_2_4 Variant=nazwa|Ulepszona Meta III|Enchanted Meta III|Улучшенная Мета III|Вдосконалена Мета III;
Wieża 3_2_4 Variant=opis|Dopracowany plan wieży Meta III, gdzie wzmocniono strukturę szybkosć ataku i zadawane obrażenia.|Meta III tower plan refined, where the structure of the attack speed and damage dealt was strengthened.|Усовершествованный план башни Мета III, в котором укреплено структуру, скорость атаки и нанесение урона.|Допрацьований план вежи Мета III, в якому зміцнено структуру, прискорено атаки і підвищено завдані шкоди.;
Wieża 3_2_5 Variant=nazwa|Mistrzowska Meta III|Master Meta III|Виртуозная Мета III|Віртуозна Мета III;
Wieża 3_2_5 Variant=opis|Mistrzowska wieża, której struktura pozwala na odbicie ataków przeciwnika, oraz ulepsza parametry.|A master tower, the structure of which allows you to reflect enemy attacks, and improves parameters.|Виртуозная башня, структура которой позваяет отразить атаку противника и имеет улучшеннве параметры.|Віртуозна вежа, структура якої дозволяє відбивати атаки ворога, а також має вдосконалені параметри.;
Wieża 3_2_6 Variant=nazwa|Meta IV|Meta IV|Мета IV|Мета IV;
Wieża 3_2_6 Variant=opis|Konstrukcja Meta IV zadaje duże obrażenia i skraca czas do ponownego ataku.|The Meta IV construction deals high damage and reduces the time to attack again.|Конструкция Мета IV наносит много урона и сокращает время перезарядки атаки.|Конструкція Мета IV завдає великі шкоди і скорочує час між атаками.
Wieża 3_2_7 Variant=nazwa|Ulepszona Meta IV|Improved Meta IV|Улучшенная Мета IV|Вдосконалена Мета IV;
Wieża 3_2_7 Variant=opis|Ulepszona Meta IV polepsza statystyki MetaIV sytuując ją w czołówce najlepszych dokonań inżynierskich.|Improved Meta IV improves MetaIV stats, placing it at the forefront of engineering achievements.|Улучшеннная Мета IV улучшает статистики Мета IV, то ставит ее в состав лучших инжинерских достижений|Вдосконалена Мета IV покращує статистики Мета IV, що ставить її поміж найкращими інжинерними досягненнями;
Wieża 3_2_8 Variant=nazwa|Meta V|Meta V|Мета V|Мета V;
Wieża 3_2_8 Variant=opis|Meta V to szczyt inżynieryjskiego kunsztu. Wieża posiada ogromną wytrzymałość, obrażenia i dużą szybkosć ataku.|Meta V is the pinnacle of engineering craftsmanship. The tower has great endurance, damage and high attack speed.|Мета V это пик инжинерного мастерства. Башня наделена огромной устойчивостью, силой наносимого урона и скоростью атаки.|Мета V це вершина інженерного ремесла. Вежа наділена величезною витривалістю, силою і швидкістю атаки.;
Wieża 3_2_9 Variant=nazwa|Mistrzowska Meta V|Master Meta V|Виртуозная Мета V|Віртуозна Мета V;
Wieża 3_2_9 Variant=opis|Mistrzowska wieża typu Meta V stosuje nowy system balist o większym zasięgu i stabilności.|The championship Meta V tower uses a new ballista system with greater range and stability.|Виртуозная Мета из типа Мета V использует новую балистическую систему с более широким диапазоном и устойчивостью.|Віртуозна вежа типу Мета V використовує нову балістичну систему з більшим діапазоном атаки і більшою стабільністю.;
Wieża 3_3 Variant=nazwa|Podstawowa Gamma|Basic Gamma|Базовая Гамма|Базова Гама;
Wieża 3_3 Variant=opis|Typ wieży Gamma charakteryzuje się atakiem wszystkich wrogów będących w zasięgu wieży, ale też niską wytrzymałością.|The Gamma tower type is characterized by the attack of all enemies within the range of the tower, but also low durability.|Тип башни Гамма характеризирует атака всех врагов в диапазоне башни, но и низкой стойкостью|Тип вежі Гама характеризує атака всіх ворогів у своєму діапазоні.;
Wieża 3_3_1 Variant=nazwa|Gamma I|Gamma I|Гамма I|Гама I;
Wieża 3_3_1 Variant=opis|Wieża o najsłabszej konstrukcji tego typu, oraz najniższych obrażeniach zadawanych na tik.|The weakest turret of its type and the lowest damage per tick.|Башня с самой слабой конструкцией этого типа, а также самым низким наносимым уроном.;
Wieża 3_3_2 Variant=nazwa|Ulepszona Gamma I|Improved Gamma I|Улучшенная Гамма I|Вдосконалена Гама I;
Wieża 3_3_2 Variant=opis|Wieża o lekko ulepszonych parametrach w stosunku do poprzedniczki.|A tower with slightly improved parameters compared to its predecessor.|Башня с несколько улучшенными параметрами в сравнении с предшествиницей.|Вежа з дещо покращеними параметрами в порівнянні з попередницею.;
Wieża 3_3_3 Variant=nazwa|Gamma II|Gamma II|Гамма II|Гама II;
Wieża 3_3_3 Variant=opis|Prototyp wieży cechujący się lepszą konstrukcją od typu I i zwiększoną szybkością ataku.|A turret prototype with a better design than Type I and an increased attack speed.|Прототип башни характеризирующийся лучшей конструкцией чем тип I и увеличеной скоростью атаки.|Прототип вежі, що характеризується кращою конструкцією ніж тип I і збільшеною швидкістю атаки.;
Wieża 3_3_4 Variant=nazwa|Ulepszona Gamma II|Improved Gamma II|Улучшенная Гамма II|Вдосконалена гамма II;
Wieża 3_3_4 Variant=opis|Wieża Gamma II o ulepszonych parametrach oraz szybszym ataku.|Gamma II tower with improved parameters and faster attack.|Башня Гамма II с улучшенными параметрами и более высокой скоростью атаки.|Вежа Гамма ІІ з удосконаленними параметрами і швидшими атаками.;
Wieża 3_3_5 Variant=nazwa|Gamma III|Gamma III|Гамма III|Гама ІІІ;
Wieża 3_3_5 Variant=opis|Protopyp wieży ulepszający statystyki poprzedniej generacji Gamma II.|A protopyp of the tower improves the stats of the previous generation Gamma II.|Прототип башни, улучшающий статистики предыдущий образец Гамма II.|Прототип вежі, вдосконалюючий статистики попереднього зразка Гами II.;
Wieża 3_3_6 Variant=nazwa|Ulepszona Gamma III|Improved Gamma III|Улучшенная Гамма III|Вдосконалена Гамма ІІІ;
Wieża 3_3_6 Variant=opis|Ulepszenie wieży Gamma III poprzez użycie lepszych materiałów zapewnia wyższą wartość wytrzymałości i lepszą stabilność.|Upgrading the Gamma III turret with better materials provides a higher durability value and better stability.|Улучшение башни Гамма III через использование лучших материалов обеспечивает более высокие показатели стойкости и стабильности.|Вдосконалення вежі Гамма III завдяки використанню кращих матеріалів забезпечує вищі показники стійкості і кращу стабільність.;
Wieża 3_3_7 Variant=nazwa|Gamma IV|Gamma IV|Гамма IV|Гама IV;
Wieża 3_3_7 Variant=opis|Gamma IV to konstrukcja służąca do mordowania. Zawrotna szybkość ataku oraz odbite obrażenia sprawiają, że ta konstrukcja zasługuje na uwagę.|Gamma IV is a murdering construct. The dizzying speed of the attack and reflected damage make this construction worthy of attention.|Гамма IV это конструкция, служая для убийства. Головокружительная скорость атаки, а также отраженный урон способствует тому, что эта башня стоит внимания.|Гамма IV це конструкція, створена для вбивства. Карколомна швидкість атаки і відбиті атаки змушують її бути вартою уваги.;
Wieża 3_3_8 Variant=nazwa|Ulepszona Gamma IV|Improved Gamma IV|Улучшенная Гамма IV|Вдосконалена Гама IV;
WIeża 3_3_8 Variant=opis|Ulepszona konstrukcja pozwoliła zwiększyć obrażenia poprzedniczki, wytrzymałość, szybkość ataku oraz ilosć odbitych obrażeń.|The improved design allowed to increase the damage of the predecessor, endurance, attack speed and the amount of reflected damage.|Улучшенная конструкция позволяет увеличить урон предшествинницыб стойкостьб скорость атаки и количество отраженного ущерба.|Вдосконалена будова дозволяє збільшити нанесені збитки попередниці, стійкість, швидкість атаки і кількість відображених атак.;
Wieża 3_3_9 Variant=nazwa|Mistrzowska Gamma IV|Master Gamma IV|Виртуозная Гамма IV|Віртуозна Гама VI;
Wieża 3_3_9 Variant=opis|To najlepsza konstrukcja typu Gamma. Znacznie zwiększony zasięg, szybkość ataku oraz odbite obrażenia sprawiają, że jest warta swojej ceny.|This is the best Gamma design. Significantly increased range, attack speed and reflected damage make it worth the money.|Это лучшее здание типа Гамма. Значительно увеличенный диапазон, скорость атаки и отображение урона способствуют тому, что она стоит своей цены.|Це найкраща будівля типу Гамма. Істотно збільшений діапазон атаки, а також відображення атак сприяє тому, що вежа варта своєї ціни.;
